E2E Latency (us),Loop Exec Time (us),Loop Period (us)
3011,3865,
5331,5494,
4917,5068,
4740,4891,
4681,4832,
5262,5411,
4705,4858,
4760,4905,
4289,4442,
4632,4777,
4638,4941,
4758,5061,
4637,4790,
4641,4786,
4601,4753,
4560,4705,
4694,4851,
4570,4715,
4544,4697,
4666,5057,
4572,4733,
4542,5052,
4099,4252,
4575,4908,
4645,4936,
4552,4741,
4431,4588,
4435,4592,
4730,4906,
4558,4714,
4539,4700,
4444,4604,
4451,4608,
4598,4755,
4491,4652,
4007,4156,
4493,4991,
4484,4641,
4631,4804,
4084,4241,
4467,4751,
4801,4978,
4729,5064,
4588,4753,
4766,4940,
4491,4899,
4795,5016,
4051,4204,
4952,5133,
4511,4816,
4523,4684,
4448,4605,
4059,4208,
4517,4678,
4576,4864,
4467,4647,
4779,4936,
4540,4697,
4655,4816,
4664,4828,
4500,4657,
4299,4450,
4124,4277,
5036,5268,
4535,4688,
4935,5088,
4508,4665,
4539,4696,
4513,4678,
4084,4237,
4548,4705,
4427,4584,
4768,4969,
5036,5189,
4056,4201,
4582,4743,
4430,4575,
4614,4772,
4468,4754,
4681,4981,
4509,4663,
4498,4651,
4802,4959,
4529,4690,
4540,4693,
4463,4616,
4597,4758,
4828,5021,
4545,4706,
4555,4712,
4024,4169,
4508,4883,
4608,4904,
4542,4699,
4518,4671,
4450,4605,
4485,4643,
4547,4706,
4462,4617,
4463,4618,
4549,4708,
4467,4632,
4528,4687,
4012,4159,
4474,4633,
4577,4815,
4626,4925,
4578,4733,
4530,4869,
4084,4246,
4845,5044,
4540,4699,
4807,5037,
4521,4684,
4764,4955,
4665,4887,
4196,4350,
4559,4718,
4433,4728,
4554,4780,
5057,5212,
4441,4600,
4373,4528,
4554,4899,
4529,4684,
4529,4684,
4613,4772,
4703,4926,
4490,4645,
4699,4886,
4048,4203,
4570,4729,
4576,4941,
4151,4306,
4505,4664,
4478,4721,
4558,4717,
4579,4737,
4570,4733,
4663,4818,
4639,4808,
4501,4656,
4711,4945,
4725,4912,
4036,4191,
4511,4670,
5124,5283,
4723,5078,
4793,4991,
4096,4247,
4072,4231,
4504,4659,
4539,4694,
4627,4909,
5111,5266,
4727,4886,
4687,4991,
4568,4723,
4508,4695,
4478,4633,
4020,4167,
4527,4686,
4500,5038,
5119,5278,
4487,4642,
4484,4639,
4455,4610,
4060,4207,
4488,4647,
4429,4584,
4172,4327,
4575,4730,
4600,4879,
4724,4891,
4594,4749,
4415,4570,
4565,4735,
4741,4908,
4533,4692,
4470,4758,
4847,5006,
4451,4606,
4453,4608,
4715,4901,
4072,4227,
4486,4669,
4728,4895,
4499,4658,
4447,4602,
4368,4718,
4599,4762,
4092,4239,
4517,4676,
4436,4727,
4661,4824,
4847,5046,
4532,4691,
4508,4667,
3992,4139,
4462,4617,
4686,4841,
4712,4867,
4429,4588,
4528,4820,
4553,4712,
5223,5390,
4699,4870,
4152,4299,
4547,4793,
4410,4773,
4513,4672,
4485,4640,
4603,4758,
4512,4667,
4349,4496,
4558,4716,
4472,4720,
4573,4753,
5017,5172,
4746,4913,
4808,4983,
4655,4980,
4517,4676,
4463,4618,
4556,4723,
4519,4674,
4496,4651,
4421,4576,
4442,4689,
4132,4287,
4426,4581,
4471,4749,
4512,4671,
4662,4817,
4564,4723,
3992,4139,
4687,4850,
4653,4816,
4517,4692,
4521,4692,
4696,4862,
4705,5045,
4544,5185,
4536,4695,
5182,5360,
4557,4719,
4523,4682,
4463,4626,
4148,4303,
4547,5070,
4582,4846,
4160,4311,
4512,4687,
4672,4843,
4641,4799,
4536,4691,
4479,4634,
4584,4747,
4651,5171,
4439,4745,
4515,4670,
4827,5074,
4542,4701,
4461,4616,
4447,4602,
3996,4143,
4756,4923,
4625,4788,
4557,4885,
4548,4707,
4446,4688,
4593,4748,
4653,4808,
4511,4670,
4442,4827,
4499,4809,
4533,4815,
4508,4667,
4561,4859,
4623,4778,
4512,4667,
4581,4739,
4048,4203,
4539,4698,
4412,4735,
4622,4793,
4620,4775,
4476,4639,
4659,4818,
4503,5014,
4844,5034,
4556,4723,
4570,4733,
4598,4753,
4477,4770,
4163,4318,
4613,4776,
4577,4834,
4777,4999,
4052,4203,
4708,4887,
4624,4795,
4693,4871,
4654,4813,
4544,4814,
4466,4621,
4449,4607,
4537,4696,
4484,4652,
4574,4733,
4448,4603,
4440,4595,
3984,4131,
4520,4683,
4556,4856,
4557,4729,
4528,4794,
4760,4927,
4799,4973,
4868,5055,
4596,4751,
4803,5026,
4536,4824,
4525,4684,
4416,4571,
4453,5081,
4473,4628,
4443,4598,
4687,4886,
4048,4199,
4599,4758,
4437,4592,
4590,4893,
4527,4682,
4603,4758,
4677,4844,
4461,4608,
4618,4777,
4461,4616,
4005,4152,
4565,4724,
4544,4699,
4981,5136,
4455,4617,
4529,4688,
4668,4891,
5195,5456,
4544,4739,
4473,4640,
4580,4739,
4458,4613,
4582,4929,
4695,5004,
4140,4287,
4562,4721,
4560,4723,
4672,4835,
4918,5144,
4574,4729,
4841,4996,
4529,4684,
4515,4674,
4471,4757,
5287,5446,
4453,4612,
4639,4919,
4551,4710,
4036,4183,
4542,4796,
4556,4809,
4559,4718,
4690,4888,
4752,4950,
4522,5046,
4691,5222,
4752,4950,
4680,4839,
4850,5077,
4502,4745,
4609,4768,
4866,5017,
4433,4624,
4569,4736,
4092,4255,
4981,5136,
4512,4794,
4511,4670,
4537,4692,
4512,4684,
4527,4686,
4594,4749,
4610,4769,
4465,4620,
4741,4896,
4469,4624,
4440,4751,
4498,5025,
4080,4227,
4616,4783,
4611,4770,
4732,4907,
4534,4689,
4445,4604,
4544,4708,
4513,4668,
4466,4621,
4690,4857,
4460,4623,
4180,4327,
4550,4713,
4144,4291,
4428,4612,
4510,4665,
4458,4613,
4433,4580,
4751,4931,
4176,4720,
4567,4722,
4530,4681,
4942,5145,
4573,4744,
4608,4775,
4537,4692,
5217,5532,
4865,5067,
4509,4664,
4456,4612,
4024,4172,
4803,5006,
4441,4770,
4598,4765,
4542,4697,
4548,4730,
4649,4812,
4580,4735,
4437,4628,
4471,4630,
4475,4781,
4136,4291,
4543,4698,
4978,5133,
4462,4617,
4460,4615,
4462,4617,
4024,4171,
4523,4682,
4441,4730,
4601,4768,
4112,4259,
4561,4728,
4886,5132,
4530,4685,
4480,4635,
4008,4155,
4048,4203,
4609,4764,
4486,4641,
4791,4950,
4436,4994,
4494,4653,
4456,4611,
5045,5196,
4489,4648,
4599,4754,
4136,4291,
5324,5479,
4563,4726,
4798,4965,
4080,4227,
4511,4670,
4514,4661,
4606,4765,
4453,4608,
4452,4607,
4475,4630,
4068,4215,
4658,4829,
