E2E Latency (us),Loop Exec Time (us),Loop Period (us),,Avg E2E,Avg Loop Exec,Avg Loop Jitter
1750,1763,999997,,1748.75,1761.701613,0.508064516
1754,1767,999999,,,,
1754,1767,1000000,,,,
1744,1756,1000000,,,,
1747,1760,999999,,,,
1746,1759,1000000,,,,
1750,1762,999999,,,,
1743,1755,1000000,,,,
1742,1754,1000000,,,,
1749,1762,999999,,,,
1742,1755,999999,,,,
1740,1752,1000000,,,,
1746,1760,1000000,,,,
1747,1760,999997,,,,
1744,1756,1000000,,,,
1745,1758,1000000,,,,
1740,1753,1000000,,,,
1751,1764,999998,,,,
1745,1758,1000001,,,,
1746,1758,1000000,,,,
1751,1764,999999,,,,
1760,1774,999999,,,,
1746,1759,1000000,,,,
1745,1759,1000000,,,,
1747,1760,1000000,,,,
1745,1759,999997,,,,
1740,1753,1000001,,,,
1745,1758,1000000,,,,
1747,1760,999998,,,,
1745,1758,1000000,,,,
1752,1766,999999,,,,
1744,1757,999999,,,,
1747,1760,1000000,,,,
1747,1760,999999,,,,
1749,1761,1000000,,,,
1754,1767,1000002,,,,
1752,1766,999998,,,,
1748,1759,1000000,,,,
1766,1781,999998,,,,
1776,1792,1000000,,,,
1766,1780,1000000,,,,
1778,1791,1000000,,,,
1762,1776,1000000,,,,
1766,1782,999999,,,,
1758,1775,999999,,,,
1752,1764,1000000,,,,
1755,1767,999999,,,,
1750,1763,1000000,,,,
1745,1757,1000000,,,,
1751,1763,999998,,,,
1750,1764,1000000,,,,
1752,1765,999999,,,,
1751,1765,1000002,,,,
1749,1762,999999,,,,
1747,1759,1000010,,,,
1748,1760,999986,,,,
1745,1758,999999,,,,
1747,1760,1000000,,,,
1749,1762,1000011,,,,
1751,1763,999998,,,,
1749,1761,999994,,,,
1743,1755,999997,,,,
1746,1758,999999,,,,
1750,1764,1000005,,,,
1750,1762,999999,,,,
1754,1768,999994,,,,
1746,1758,1000006,,,,
1747,1759,999996,,,,
1751,1764,999997,,,,
1746,1759,1000000,,,,
1745,1758,999999,,,,
1746,1759,1000001,,,,
1746,1759,999999,,,,
1749,1762,1000000,,,,
1748,1760,1000000,,,,
1751,1765,1000000,,,,
1743,1756,999998,,,,
1744,1757,1000001,,,,
1745,1758,999999,,,,
1751,1764,999999,,,,
1744,1757,1000001,,,,
1754,1767,999998,,,,
1744,1757,999999,,,,
1744,1757,999999,,,,
1747,1760,1000001,,,,
1752,1765,1000004,,,,
1751,1764,999998,,,,
1749,1762,999999,,,,
1747,1759,999998,,,,
1746,1758,999999,,,,
1749,1761,999997,,,,
1748,1760,999999,,,,
1747,1759,999999,,,,
1746,1758,1000000,,,,
1749,1762,999999,,,,
1747,1760,1000000,,,,
1748,1761,1000000,,,,
1746,1759,999999,,,,
1749,1762,999999,,,,
1753,1767,999998,,,,
1745,1758,1000000,,,,
1745,1757,999999,,,,
1745,1757,1000002,,,,
1748,1762,1000001,,,,
1750,1763,999996,,,,
1745,1758,1000001,,,,
1743,1755,999998,,,,
1745,1758,1000001,,,,
1744,1757,999999,,,,
1742,1755,1000001,,,,
1745,1758,999999,,,,
1745,1758,999999,,,,
1751,1764,999999,,,,
1746,1758,999999,,,,
1745,1757,1000000,,,,
1749,1762,1000000,,,,
1747,1761,999998,,,,
1751,1764,1000001,,,,
1748,1760,1000000,,,,
1749,1762,1000005,,,,
1749,1762,999993,,,,
1753,1767,1000000,,,,
1748,1761,1000000,,,,
1754,1768,1000001,,,,
