E2E Latency,Loop Exec Time,Loop Period (us),Avg E2E,Avg Exec Time,Avg Loop Period
3011,3865,1000000,4538.530398,4732.209644,1000000
5331,5494,1000000,,,
4917,5068,1000000,,,
4740,4891,1000000,,,
4681,4832,1000000,,,
5262,5411,1000000,,,
4705,4858,1000000,,,
4760,4905,1000000,,,
4289,4442,1000000,,,
4632,4777,1000000,,,
4638,4941,1000000,,,
4758,5061,1000000,,,
4637,4790,1000000,,,
4641,4786,1000000,,,
4601,4753,1000000,,,
4560,4705,1000000,,,
4694,4851,1000000,,,
4570,4715,1000000,,,
4544,4697,1000000,,,
4666,5057,1000000,,,
4572,4733,1000000,,,
4542,5052,1000000,,,
4099,4252,1000000,,,
4575,4908,1000000,,,
4645,4936,1000000,,,
4552,4741,1000000,,,
4431,4588,1000000,,,
4435,4592,1000000,,,
4730,4906,1000000,,,
4558,4714,1000000,,,
4539,4700,1000000,,,
4444,4604,1000000,,,
4451,4608,1000125,,,
4598,4755,999875,,,
4491,4652,1000000,,,
4007,4156,1000000,,,
4493,4991,1000000,,,
4484,4641,1000000,,,
4631,4804,1000000,,,
4084,4241,1000000,,,
4467,4751,1000000,,,
4801,4978,1000000,,,
4729,5064,1000000,,,
4588,4753,1000000,,,
4766,4940,1000000,,,
4491,4899,1000000,,,
4795,5016,1000000,,,
4051,4204,1000000,,,
4952,5133,1000000,,,
4511,4816,1000000,,,
4523,4684,1000000,,,
4448,4605,1000000,,,
4059,4208,1000000,,,
4517,4678,1000000,,,
4576,4864,1000000,,,
4467,4647,1000000,,,
4779,4936,1000000,,,
4540,4697,1000000,,,
4655,4816,1000000,,,
4664,4828,1000000,,,
4500,4657,1000000,,,
4299,4450,1000000,,,
4124,4277,1000000,,,
5036,5268,1000000,,,
4535,4688,1000000,,,
4935,5088,1000000,,,
4508,4665,1000000,,,
4539,4696,1000000,,,
4513,4678,1000000,,,
4084,4237,1000000,,,
4548,4705,1000000,,,
4427,4584,1000000,,,
4768,4969,1000000,,,
5036,5189,1000000,,,
4056,4201,1000000,,,
4582,4743,1000000,,,
4430,4575,1000000,,,
4614,4772,1000000,,,
4468,4754,1000000,,,
4681,4981,1000000,,,
4509,4663,1000000,,,
4498,4651,1000000,,,
4802,4959,1000000,,,
4529,4690,1000000,,,
4540,4693,1000000,,,
4463,4616,1000000,,,
4597,4758,1000000,,,
4828,5021,1000000,,,
