temperature,pressure,humidity
22.64,100759,59
22.64,100748,59
22.63,100752,59
22.64,100756,59
22.63,100752,59
22.64,100753,59
22.64,100756,59
22.64,100754,59
22.64,100750,59
22.64,100756,58
22.64,100753,58
22.63,100752,58
22.64,100753,58
22.64,100745,58
22.63,100752,58
22.63,100752,58
22.63,100752,58
22.64,100756,58
22.64,100753,58
22.64,100748,58
22.63,100755,58
22.63,100752,58
22.64,100753,58
22.64,100753,58
22.64,100756,59
22.63,100752,59
22.64,100753,58
22.64,100756,58
22.64,100753,58
22.64,100759,58
22.64,100756,58
22.64,100757,58
22.64,100753,58
22.64,100754,58
22.65,100755,58
22.65,100760,58
22.65,100758,58
22.66,100761,59
22.64,100753,58
22.65,100755,58
22.65,100760,58
22.65,100760,58
22.65,100758,58
22.64,100754,58
22.66,100753,58
22.64,100748,58
22.63,100747,58
22.65,100755,58
22.65,100752,58
22.64,100760,58
22.66,100756,58
22.66,100753,58
22.64,100757,58
22.66,100757,58
22.65,100758,58
22.66,100756,58
22.66,100756,58
22.66,100757,58
22.66,100754,58
22.65,100760,58
22.66,100751,58
22.66,100757,58
22.66,100756,58
22.65,100758,58
22.64,100760,58
22.66,100759,58
22.66,100762,58
22.66,100757,58
22.64,100754,58
22.66,100757,58
22.66,100759,58
22.66,100759,58
22.66,100762,58
22.65,100755,58
22.65,100755,58
22.66,100750,58
22.65,100755,58
22.65,100760,58
22.66,100757,58
22.66,100759,58
22.66,100761,58
22.66,100762,58
22.66,100759,58
22.66,100759,58
22.66,100757,58
22.66,100762,58
22.67,100758,58
22.67,100760,58
22.67,100764,58
22.67,100763,58
22.67,100753,58
22.67,100758,58
22.66,100759,58
22.67,100760,58
22.67,100750,58
22.67,100764,58
22.68,100759,58
22.67,100758,58
22.67,100758,58
22.67,100758,58
22.67,100758,58
22.68,100765,58
22.67,100755,59
22.67,100764,58
22.67,100758,58
22.68,100765,58
22.66,100754,58
22.67,100761,59
22.68,100766,58
22.68,100762,59
22.68,100760,59
22.67,100758,59
22.68,100760,59
22.67,100758,59
22.67,100758,59
22.69,100761,59
22.69,100758,59
22.68,100766,59
22.68,100766,58
22.69,100761,58
22.68,100760,58
22.68,100771,59
22.68,100763,59
22.68,100759,59
21.56,100885,52
21.57,100886,52
21.58,100891,52
21.59,100887,52
21.6,100883,52
21.61,100885,52
21.61,100893,52
21.62,100889,52
21.62,100886,52
21.63,100888,52
21.63,100888,52
21.63,100889,52
21.63,100891,52
21.64,100888,52
21.64,100885,52
21.64,100888,52
21.65,100889,52
21.66,100891,52
21.66,100885,52
21.66,100882,52
21.66,100888,52
21.75,100886,52
21.73,100887,52
21.74,100888,52
21.73,100887,52
21.73,100883,52
21.73,100883,52
21.71,100885,52
21.69,100877,52
21.7,100878,52
21.7,100878,52
21.69,100888,52
21.7,100889,52
21.7,100884,52
21.69,100877,52
21.68,100875,52
21.68,100881,52
21.69,100883,52
21.69,100882,52
21.69,100879,52
21.67,100895,52
21.65,100887,52
21.65,100897,52
21.65,100889,52
21.66,100893,52
21.66,100893,52
21.64,100888,52
21.64,100887,52
21.64,100895,52
21.65,100886,52
21.65,100886,52
21.65,100889,52
21.65,100892,52
21.65,100886,52
21.65,100892,52
21.64,100884,52
21.64,100890,52
21.64,100887,52
21.64,100890,52
21.64,100887,52
21.63,100889,52
21.64,100890,52
21.64,100884,52
21.64,100890,52
21.64,100887,52
21.64,100895,52
21.64,100884,52
21.65,100890,52
21.65,100890,52
21.65,100884,52
21.65,100887,52
21.65,100892,52
21.66,100893,52
21.65,100892,52
21.66,100885,52
21.67,100889,52
21.66,100891,52
21.65,100892,52
21.66,100893,52
21.67,100889,52
21.67,100892,52
21.66,100893,52
21.66,100897,52
21.67,100887,52
21.67,100892,52
21.67,100895,52
21.67,100884,52
21.67,100892,52
21.67,100890,52
21.68,100894,52
21.67,100890,52
21.68,100888,52
21.67,100885,52
21.68,100886,52
21.69,100887,52
21.68,100886,52
21.69,100887,52
21.69,100893,52
21.69,100896,52
21.69,100885,52
21.69,100898,52
21.68,100886,52
21.7,100883,52
21.7,100892,52
21.69,100893,52
21.69,100893,52
21.69,100891,52
21.69,100885,52
21.7,100886,52
21.69,100894,52
21.7,100892,52
21.7,100895,52
21.7,100893,52
21.71,100888,52
21.71,100896,52
21.71,100896,52
21.71,100893,52
21.71,100891,52
21.71,100893,52
21.71,100893,52
21.71,100893,52
21.72,100898,52
21.72,100892,52
21.71,100891,52
21.72,100892,52
21.72,100892,52
21.71,100891,52
21.71,100891,51
21.73,100889,52
21.73,100889,52
21.73,100889,52
21.73,100889,52
21.74,100896,52
21.74,100888,52
21.75,100897,52
21.73,100892,52
21.75,100891,52
21.74,100893,52
21.75,100892,51
21.74,100890,52
21.75,100888,52
21.75,100889,52
21.75,100892,51
21.75,100886,51
21.76,100888,51
21.76,100893,51
21.76,100888,51
21.76,100894,51
21.77,100889,51
21.76,100894,51
21.76,100888,51
21.76,100891,51
21.76,100888,51
21.77,100893,51
21.77,100884,51
21.78,100891,51
21.77,100895,51
21.77,100887,51
21.78,100891,51
21.79,100890,51
21.78,100894,51
21.77,100890,51
21.78,100886,51
21.78,100892,51
21.79,100887,51
21.79,100885,51
21.8,100894,51
21.78,100886,51
21.78,100880,51
21.79,100890,51
21.79,100881,51
21.79,100890,51
21.79,100893,51
21.79,100888,51
21.79,100888,51
21.8,100889,51
21.79,100893,51
21.8,100895,51
21.8,100889,51
21.79,100890,51
21.79,100885,51
21.79,100890,51
21.79,100888,51
21.8,100889,51
21.79,100885,51
21.8,100894,51
21.79,100888,51
21.79,100888,51
21.8,100887,51
21.8,100889,51
21.8,100895,51
21.8,100892,51
21.8,100889,51
21.8,100884,51
21.81,100896,51
21.8,100895,51
21.8,100887,51
21.81,100885,51
21.81,100890,51
21.81,100897,51
21.81,100887,51
21.81,100890,51
21.81,100886,51
21.81,100891,51
21.81,100894,51
21.81,100888,51
21.83,100888,51
21.82,100896,51
21.82,100896,51
21.83,100889,51
21.83,100888,51
21.83,100892,51
21.83,100883,51
21.83,100892,51
21.84,100891,51
21.83,100889,51
21.86,100885,51
21.84,100885,51
21.86,100894,51
21.85,100892,51
21.85,100887,51
