temperature,pressure,humidity
20.04,100649,61
20.04,100649,61
20.04,100649,61
20.03,100650,61
20.03,100650,61
20.02,100653,61
20.01,100650,61
20,100653,62
19.99,100655,62
19.98,100656,62
20,100648,62
19.98,100647,62
19.95,100651,62
19.95,100645,62
19.95,100650,62
19.96,100647,62
19.96,100649,62
19.97,100648,62
19.97,100648,62
19.97,100648,62
19.94,100649,62
19.94,100643,62
19.94,100653,62
19.91,100646,62
19.91,100648,62
19.9,100653,62
19.91,100655,62
19.91,100649,62
19.88,100641,62
19.88,100650,62
19.87,100649,62
19.9,100650,62
19.91,100654,62
19.89,100644,62
19.89,100646,62
19.9,100653,62
19.89,100651,62
19.89,100646,62
19.9,100642,62
19.89,100647,62
19.9,100648,62
19.89,100649,62
19.9,100648,62
19.91,100646,62
19.91,100649,62
19.92,100645,62
19.93,100644,62
19.94,100643,62
19.94,100649,62
19.96,100649,62
19.96,100649,62
19.96,100641,62
19.98,100645,62
19.98,100650,62
19.98,100647,62
20,100650,62
20,100642,62
20,100642,62
20,100640,62
20,100648,62
19.99,100641,62
20.01,100643,62
20.01,100647,62
20.02,100645,62
20.01,100640,62
20.01,100641,62
20.03,100647,62
20.03,100644,62
20.02,100651,62
20,100637,62
20.01,100644,62
20.02,100654,62
20.03,100648,62
20.05,100647,62
20.06,100646,62
20.06,100641,62
20.07,100649,62
20.08,100650,62
20.07,100643,62
20.09,100651,62
20.1,100642,62
20.09,100647,62
20.1,100648,62
20.11,100638,62
20.1,100643,62
20.1,100646,62
20.09,100640,62
20.09,100641,62
20.08,100647,62
20.08,100642,62
20.07,100638,62
20.08,100645,62
20.07,100648,62
20.06,100646,62
20.07,100638,62
20.07,100645,62
20.08,100644,62
20.08,100639,62
20.08,100642,62
20.08,100639,62
20.09,100646,62
20.07,100635,62
20.09,100647,62
20.09,100647,62
20.1,100640,62
20.1,100643,62
20.09,100638,62
20.08,100642,62
20.09,100638,62
20.11,100638,62
20.12,100645,62
20.11,100645,62
20.11,100644,62
20.11,100646,62
20.11,100649,62
20.12,100649,62
20.13,100647,62
20.13,100639,62
20.13,100642,62
20.13,100637,62
20.13,100642,62
20.13,100642,62
20.12,100638,62
20.12,100641,62
20.13,100645,62
20.12,100635,62
20.12,100643,62
20.13,100642,62
20.12,100643,62
20.13,100642,62
20.15,100645,62
20.14,100644,62
20.14,100639,62
20.15,100642,62
20.15,100640,62
20.13,100640,62
20.14,100646,62
20.13,100647,62
20.12,100646,62
