T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001124 s | E2E: 0.001124 s | Jitter: 0.001206 s
T: 23.71 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001133 s | E2E: 0.001133 s | Jitter: 0.001230 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001228 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001235 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001257 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001215 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001126 s | E2E: 0.001126 s | Jitter: 0.001228 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001239 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001226 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001129 s | E2E: 0.001129 s | Jitter: 0.001215 s
T: 23.70 C, P: 1006.17 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001216 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001216 s
T: 23.70 C, P: 1006.12 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001205 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001208 s
T: 23.70 C, P: 1006.21 hPa, H: 84.74 % | Exec: 0.001131 s | E2E: 0.001131 s | Jitter: 0.001228 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001237 s
T: 23.70 C, P: 1006.10 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001208 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001128 s | E2E: 0.001128 s | Jitter: 0.001220 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001207 s
T: 23.70 C, P: 1006.13 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001231 s
T: 23.70 C, P: 1006.15 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001218 s
T: 23.69 C, P: 1006.08 hPa, H: 84.74 % | Exec: 0.001130 s | E2E: 0.001130 s | Jitter: 0.001211 s
T: 23.69 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001127 s | E2E: 0.001127 s | Jitter: 0.001212 s
T: 23.71 C, P: 1006.11 hPa, H: 84.74 % | Exec: 0.001132 s | E2E: 0.001132 s | Jitter: 0.001209 s
T: 23.71 C, P: 1006.16 hPa, H: 84.74 % | Exec: 0.001125 s | E2E: 0.001125 s | Jitter: 0.001219 s
