Exec_us,E2E_us,Jitter_us
1124.0,1124.0,1206.0
1133.0,1133.0,1230.0
1125.0,1125.0,1228.0
1129.0,1129.0,1235.0
1131.0,1131.0,1257.0
1126.0,1126.0,1215.0
1126.0,1126.0,1228.0
1130.0,1130.0,1239.0
1129.0,1129.0,1226.0
1129.0,1129.0,1215.0
1128.0,1128.0,1216.0
1125.0,1125.0,1216.0
1127.0,1127.0,1205.0
1125.0,1125.0,1208.0
1131.0,1131.0,1228.0
1127.0,1127.0,1237.0
1130.0,1130.0,1208.0
1128.0,1128.0,1220.0
1132.0,1132.0,1207.0
1127.0,1127.0,1231.0
1125.0,1125.0,1218.0
1130.0,1130.0,1211.0
1127.0,1127.0,1212.0
1132.0,1132.0,1209.0
1125.0,1125.0,1219.0
1127.0,1127.0,1207.0
1123.0,1123.0,1210.0
1124.0,1124.0,1206.0
1127.0,1127.0,1220.0
1129.0,1129.0,1208.0
1130.0,1130.0,1212.0
1128.0,1128.0,1210.0
1129.0,1129.0,1216.0
1129.0,1129.0,1217.0
1128.0,1128.0,1215.0
1126.0,1126.0,1209.0
1130.0,1130.0,1227.0
1130.0,1130.0,1222.0
1126.0,1126.0,1221.0
1129.0,1129.0,1207.0
1132.0,1132.0,1241.0
1127.0,1127.0,1221.0
1126.0,1126.0,1218.0
1129.0,1129.0,1206.0
1124.0,1124.0,1227.0
1125.0,1125.0,1204.0
1125.0,1125.0,1208.0
1129.0,1129.0,1207.0
1127.0,1127.0,1210.0
1126.0,1126.0,1212.0
1138.0,1138.0,1203.0
1127.0,1127.0,1249.0
1128.0,1128.0,1215.0
1129.0,1129.0,1209.0
1130.0,1130.0,1224.0
1124.0,1124.0,1219.0
1125.0,1125.0,1215.0
1125.0,1125.0,1206.0
1125.0,1125.0,1205.0
1125.0,1125.0,1225.0
1125.0,1125.0,1205.0
1125.0,1125.0,1205.0
1127.0,1127.0,1206.0
1126.0,1126.0,1207.0
1123.0,1123.0,1206.0
1123.0,1123.0,1204.0
1131.0,1131.0,1232.0
1123.0,1123.0,1218.0
1125.0,1125.0,1201.0
1125.0,1125.0,1210.0
1126.0,1126.0,1210.0
1123.0,1123.0,1209.0
1122.0,1122.0,1203.0
1124.0,1124.0,1198.0
1123.0,1123.0,1201.0
1129.0,1129.0,1227.0
1125.0,1125.0,1212.0
1137.0,1137.0,1202.0
1122.0,1122.0,1232.0
1125.0,1125.0,1201.0
1129.0,1129.0,1223.0
1124.0,1124.0,1210.0
1124.0,1124.0,1201.0
1123.0,1123.0,1202.0
1129.0,1129.0,1225.0
